"Id","SalePrice"
1461,112876.560982515
1462,146630.609873927
1463,162326.140868638
1464,177893.108317966
1465,227651.688711379
1466,172616.347579787
1467,182198.655936341
1468,158936.793007726
1469,210148.92490508
1470,115381.907995264
1471,146742.90040672
1472,98813.2846297777
1473,94626.1966954038
1474,134655.899922058
1475,119052.729768894
1476,368894.376463251
1477,271771.156974415
1478,322698.511497447
1479,316681.44048203
1480,436647.521204592
1481,312272.383460094
1482,228965.949212844
1483,184554.765300908
1484,166856.702814697
1485,191375.84589779
1486,198403.553850312
1487,359342.721044344
1488,215613.161675461
1489,241630.584490036
1490,210652.431656578
1491,112163.716977272
1492,211497.560722991
1493,308968.023124465
1494,296472.188209339
1495,246750.612872255
1496,186395.844253415
1497,178056.517111953
1498,153119.505247005
1499,143795.083417889
1500,172575.815999601
1501,135438.310601457
1502,308885.897753511
1503,235996.71062523
1504,224323.065362732
1505,193553.697971727
1506,234618.583314509
1507,187958.305069196
1508,164615.519252056
1509,146102.839138331
1510,157329.731236791
1511,166158.990292804
1512,165119.797151356
1513,148942.421551943
1514,198985.267425518
1515,163074.717369224
1516,177747.34819127
1517,134055.795422169
1518,200058.180780767
1519,126690.581791652
1520,133030.270423634
1521,177255.949232723
1522,111113.688707464
1523,127089.210083304
1524,118616.016273502
1525,104908.339411318
1526,106831.09234012
1527,145977.160858166
1528,143140.649440696
1529,202352.637125067
1530,110751.570894075
1531,87297.0039293597
1532,153545.670483177
1533,119853.316535486
1534,149367.659578563
1535,99287.2624930274
1536,34405.3841441179
1537,164021.291231108
1538,202705.578407283
1539,126933.635125746
1540,125480.861837881
1541,151549.602834847
1542,188755.101669642
1543,92841.59081013
1544,119285.714334595
1545,136220.365274904
1546,125595.096493745
1547,146159.615001292
1548,113629.8103156
1549,141213.144570969
1550,103259.872074954
1551,151997.731502354
1552,139518.301155666
1553,127085.22979985
1554,159643.208433908
1555,78704.6528704418
1556,79732.009563208
1557,99863.1410866563
1558,65615.5592595607
1559,129267.529717
1560,101642.490354008
1561,134799.862704082
1562,121391.080634303
1563,134413.504409402
1564,140242.228372379
1565,240968.129276548
1566,82260.0318584734
1567,217360.610761242
1568,109876.601132254
1569,132957.542923774
1570,112403.365217149
1571,140457.540434446
1572,245043.546979971
1573,132524.329376866
1574,222731.287771501
1575,233968.353816131
1576,189310.948392057
1577,156143.737353797
1578,134623.911379153
1579,190578.083744331
1580,148004.207855751
1581,143876.528048008
1582,255037.388850342
1583,226044.969776053
1584,135142.362868784
1585,122305.082856132
1586,165374.130810023
1587,85970.8601138325
1588,125374.401567225
1589,92622.9480930064
1590,132344.298158524
1591,121490.981857902
1592,102129.211911982
1593,232751.906003471
1594,206682.766821222
1595,218410.672392513
1596,191382.169505418
1597,176990.251916902
1598,56949.2453742697
1599,112195.01475048
1600,74799.0496405652
1601,278588.937670076
1602,218730.491401105
1603,157350.355469888
1604,182558.197832126
1605,206584.177902612
1606,195123.311413464
1607,156348.13145492
1608,148546.62364249
1609,206471.742451177
1610,163709.302474776
1611,138582.540296789
1612,82065.3735740592
1613,69122.7417112654
1614,84472.0950709832
1615,137953.284280655
1616,145230.66683112
1617,169178.734445604
1618,129124.970944987
1619,146923.18098305
1620,248368.396577031
1621,185521.677094397
1622,109947.458868435
1623,173468.067219576
1624,172685.353225813
1625,283253.159539545
1626,189848.257560128
1627,350737.574118816
1628,253479.277863138
1629,252940.156658239
1630,187206.973239501
1631,171290.473953059
1632,162124.300111205
1633,160765.651559717
1634,174239.954339935
1635,197943.633862844
1636,188901.567069185
1637,247405.938832641
1638,183232.373484282
1639,231388.831400014
1640,234447.033319054
1641,232860.632957741
1642,192766.813462317
1643,161461.416226226
1644,163391.62298624
1645,137775.765226146
1646,133761.142809523
1647,113249.873812251
1648,115393.536275533
1649,97142.5266379546
1650,100729.873326572
1651,141504.146094375
1652,132626.833077421
1653,140505.12588285
1654,155275.226495972
1655,152154.414738861
1656,135832.186405696
1657,155808.885453472
1658,399796.2575206
1659,365236.611828406
1660,376564.040744686
1661,447973.411183
1662,347621.252024983
1663,327225.700076266
1664,317697.807788967
1665,360733.693439459
1666,314160.677175226
1667,352535.286821807
1668,262550.584676387
1669,361946.77516804
1670,307737.106364328
1671,266665.424751858
1672,212867.507814494
1673,201536.550662148
1674,215737.102403449
1675,429427.058002845
1676,369192.52890188
1677,323713.389565277
1678,297694.503557549
1679,341883.272597039
1680,212687.33199063
1681,180328.621391035
1682,181647.374496515
1683,168399.867191971
1684,194020.876582674
1685,187575.017244987
1686,196799.790875433
1687,180833.737661455
1688,172703.314172621
1689,194498.531902631
1690,166743.351046283
1691,187846.399769086
